uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,121
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,156
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",I,2
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
BA,PNEUMONIA,DOMICILIO,"< 9",F,1
BA,PNEUMONIA,HOSPITAL,"< 9",F,33
BA,PNEUMONIA,HOSPITAL,"< 9",M,36
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
BA,SEPTICEMIA,DOMICILIO,"< 9",M,2
BA,SEPTICEMIA,HOSPITAL,"< 9",F,164
BA,SEPTICEMIA,HOSPITAL,"< 9",M,180
BA,SEPTICEMIA,OUTRO,"< 9",M,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
BA,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
BA,SRAG,HOSPITAL,"< 9",F,11
BA,SRAG,HOSPITAL,"< 9",I,1
BA,SRAG,HOSPITAL,"< 9",M,4
CE,OUTRAS,AMBULANCIA,"< 9",F,1
CE,OUTRAS,DOMICILIO,"< 9",F,9
CE,OUTRAS,DOMICILIO,"< 9",M,16
CE,OUTRAS,HOSPITAL,"< 9",F,289
CE,OUTRAS,HOSPITAL,"< 9",I,12
CE,OUTRAS,HOSPITAL,"< 9",M,355
CE,OUTRAS,IGNORADO,"< 9",F,24
CE,OUTRAS,IGNORADO,"< 9",M,35
CE,OUTRAS,OUTRO,"< 9",F,4
CE,OUTRAS,OUTRO,"< 9",M,6
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,5
CE,OUTRAS,VIA_PUBLICA,"< 9",F,1
CE,OUTRAS,VIA_PUBLICA,"< 9",M,6
CE,COVID,DOMICILIO,"< 9",M,2
CE,COVID,HOSPITAL,"< 9",F,34
CE,COVID,HOSPITAL,"< 9",I,1
CE,COVID,HOSPITAL,"< 9",M,32
CE,COVID,IGNORADO,"< 9",F,2
CE,COVID,IGNORADO,"< 9",M,4
CE,INDETERMINADA,DOMICILIO,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,6
CE,INDETERMINADA,HOSPITAL,"< 9",I,1
CE,INDETERMINADA,HOSPITAL,"< 9",M,4
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,15
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,33
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,6
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,9
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
CE,PNEUMONIA,DOMICILIO,"< 9",M,1
CE,PNEUMONIA,HOSPITAL,"< 9",F,20
CE,PNEUMONIA,HOSPITAL,"< 9",M,21
CE,PNEUMONIA,IGNORADO,"< 9",F,5
CE,PNEUMONIA,IGNORADO,"< 9",M,2
CE,SEPTICEMIA,AMBULANCIA,"< 9",F,1
CE,SEPTICEMIA,AMBULANCIA,"< 9",M,1
CE,SEPTICEMIA,DOMICILIO,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,66
CE,SEPTICEMIA,HOSPITAL,"< 9",M,101
CE,SEPTICEMIA,IGNORADO,"< 9",F,16
CE,SEPTICEMIA,IGNORADO,"< 9",M,8
CE,SEPTICEMIA,OUTRO,"< 9",F,2
CE,SRAG,HOSPITAL,"< 9",F,2
CE,SRAG,HOSPITAL,"< 9",M,3
DF,OUTRAS,DOMICILIO,"< 9",F,2
DF,OUTRAS,HOSPITAL,"< 9",F,94
DF,OUTRAS,HOSPITAL,"< 9",I,1
DF,OUTRAS,HOSPITAL,"< 9",M,111
DF,OUTRAS,IGNORADO,"< 9",F,9
DF,OUTRAS,IGNORADO,"< 9",M,7
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,6
DF,OUTRAS,VIA_PUBLICA,"< 9",F,1
DF,COVID,HOSPITAL,"< 9",F,2
DF,COVID,HOSPITAL,"< 9",M,4
DF,INDETERMINADA,HOSPITAL,"< 9",F,2
DF,INDETERMINADA,HOSPITAL,"< 9",M,3
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,21
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,30
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,PNEUMONIA,HOSPITAL,"< 9",F,5
DF,PNEUMONIA,HOSPITAL,"< 9",M,8
DF,SEPTICEMIA,DOMICILIO,"< 9",F,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,38
DF,SEPTICEMIA,HOSPITAL,"< 9",M,58
DF,SRAG,HOSPITAL,"< 9",F,2
ES,OUTRAS,DOMICILIO,"< 9",F,8
ES,OUTRAS,DOMICILIO,"< 9",M,7
ES,OUTRAS,HOSPITAL,"< 9",F,74
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,97
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,OUTRAS,VIA_PUBLICA,"< 9",F,1
ES,OUTRAS,VIA_PUBLICA,"< 9",M,2
ES,COVID,HOSPITAL,"< 9",F,7
ES,COVID,HOSPITAL,"< 9",M,5
ES,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,12
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,7
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,14
ES,PNEUMONIA,HOSPITAL,"< 9",M,17
ES,SEPTICEMIA,DOMICILIO,"< 9",M,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,51
ES,SEPTICEMIA,HOSPITAL,"< 9",I,1
ES,SEPTICEMIA,HOSPITAL,"< 9",M,78
ES,SRAG,HOSPITAL,"< 9",F,1
ES,SRAG,HOSPITAL,"< 9",M,2
GO,OUTRAS,DOMICILIO,"< 9",F,8
GO,OUTRAS,DOMICILIO,"< 9",M,12
GO,OUTRAS,HOSPITAL,"< 9",F,100
GO,OUTRAS,HOSPITAL,"< 9",I,1
GO,OUTRAS,HOSPITAL,"< 9",M,122
GO,OUTRAS,IGNORADO,"< 9",F,3
GO,OUTRAS,IGNORADO,"< 9",M,4
GO,OUTRAS,OUTRO,"< 9",F,3
GO,OUTRAS,OUTRO,"< 9",M,5
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,11
GO,OUTRAS,VIA_PUBLICA,"< 9",F,4
GO,COVID,HOSPITAL,"< 9",F,6
GO,COVID,HOSPITAL,"< 9",M,9
GO,COVID,OUTRO,"< 9",M,1
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INDETERMINADA,HOSPITAL,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,32
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,42
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,SAMU,"< 9",M,1
GO,PNEUMONIA,HOSPITAL,"< 9",F,12
GO,PNEUMONIA,HOSPITAL,"< 9",I,1
GO,PNEUMONIA,HOSPITAL,"< 9",M,13
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,IGNORADO,"< 9",M,1
GO,PNEUMONIA,OUTRO,"< 9",M,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
GO,SEPTICEMIA,HOSPITAL,"< 9",F,60
GO,SEPTICEMIA,HOSPITAL,"< 9",M,98
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
GO,SRAG,HOSPITAL,"< 9",M,1
GO,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,OUTRAS,AMBULANCIA,"< 9",M,1
MA,OUTRAS,DOMICILIO,"< 9",F,20
MA,OUTRAS,DOMICILIO,"< 9",M,17
MA,OUTRAS,HOSPITAL,"< 9",F,144
MA,OUTRAS,HOSPITAL,"< 9",I,3
MA,OUTRAS,HOSPITAL,"< 9",M,174
MA,OUTRAS,IGNORADO,"< 9",F,1
MA,OUTRAS,IGNORADO,"< 9",M,1
MA,OUTRAS,OUTRO,"< 9",F,8
MA,OUTRAS,OUTRO,"< 9",M,7
MA,OUTRAS,VIA_PUBLICA,"< 9",F,1
MA,OUTRAS,VIA_PUBLICA,"< 9",M,3
MA,COVID,HOSPITAL,"< 9",F,7
MA,COVID,HOSPITAL,"< 9",M,9
MA,INDETERMINADA,HOSPITAL,"< 9",F,3
MA,INDETERMINADA,HOSPITAL,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,23
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,24
MA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
MA,PNEUMONIA,DOMICILIO,"< 9",F,1
MA,PNEUMONIA,DOMICILIO,"< 9",M,2
MA,PNEUMONIA,HOSPITAL,"< 9",F,11
MA,PNEUMONIA,HOSPITAL,"< 9",M,16
MA,PNEUMONIA,OUTRO,"< 9",M,1
MA,SEPTICEMIA,AMBULANCIA,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,44
MA,SEPTICEMIA,HOSPITAL,"< 9",M,45
MA,SEPTICEMIA,OUTRO,"< 9",F,1
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SRAG,HOSPITAL,"< 9",F,3
MA,SRAG,HOSPITAL,"< 9",M,1
MA,SRAG,OUTRO,"< 9",F,1
MA,SRAG,OUTRO,"< 9",M,1
MG,OUTRAS,DOMICILIO,"< 9",F,26
MG,OUTRAS,DOMICILIO,"< 9",M,32
MG,OUTRAS,HOSPITAL,"< 9",F,446
MG,OUTRAS,HOSPITAL,"< 9",I,5
MG,OUTRAS,HOSPITAL,"< 9",M,543
MG,OUTRAS,IGNORADO,"< 9",F,11
MG,OUTRAS,IGNORADO,"< 9",M,12
MG,OUTRAS,OUTRO,"< 9",F,2
MG,OUTRAS,OUTRO,"< 9",M,8
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,12
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,26
MG,OUTRAS,VIA_PUBLICA,"< 9",F,2
MG,OUTRAS,VIA_PUBLICA,"< 9",M,8
MG,COVID,HOSPITAL,"< 9",F,20
MG,COVID,HOSPITAL,"< 9",M,26
MG,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INDETERMINADA,DOMICILIO,"< 9",F,2
MG,INDETERMINADA,DOMICILIO,"< 9",M,2
MG,INDETERMINADA,HOSPITAL,"< 9",F,10
MG,INDETERMINADA,HOSPITAL,"< 9",M,9
MG,INDETERMINADA,OUTRO,"< 9",F,1
MG,INDETERMINADA,OUTRO,"< 9",M,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,80
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,100
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,PNEUMONIA,DOMICILIO,"< 9",F,2
MG,PNEUMONIA,DOMICILIO,"< 9",M,1
MG,PNEUMONIA,HOSPITAL,"< 9",F,30
MG,PNEUMONIA,HOSPITAL,"< 9",M,26
MG,PNEUMONIA,IGNORADO,"< 9",F,1
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,SEPTICEMIA,DOMICILIO,"< 9",F,1
MG,SEPTICEMIA,DOMICILIO,"< 9",M,2
MG,SEPTICEMIA,HOSPITAL,"< 9",F,181
MG,SEPTICEMIA,HOSPITAL,"< 9",I,1
MG,SEPTICEMIA,HOSPITAL,"< 9",M,226
MG,SEPTICEMIA,IGNORADO,"< 9",F,6
MG,SEPTICEMIA,IGNORADO,"< 9",M,3
MG,SEPTICEMIA,OUTRO,"< 9",F,2
MG,SRAG,HOSPITAL,"< 9",F,9
MG,SRAG,HOSPITAL,"< 9",M,3
MG,SRAG,IGNORADO,"< 9",F,1
MS,OUTRAS,DOMICILIO,"< 9",F,13
MS,OUTRAS,DOMICILIO,"< 9",M,6
MS,OUTRAS,HOSPITAL,"< 9",F,137
MS,OUTRAS,HOSPITAL,"< 9",M,143
MS,OUTRAS,IGNORADO,"< 9",M,1
MS,OUTRAS,OUTRO,"< 9",F,1
MS,OUTRAS,POSTO_SAUDE,"< 9",F,1
MS,OUTRAS,POSTO_SAUDE,"< 9",M,1
MS,OUTRAS,VIA_PUBLICA,"< 9",F,1
MS,OUTRAS,VIA_PUBLICA,"< 9",M,4
MS,COVID,HOSPITAL,"< 9",F,5
MS,COVID,HOSPITAL,"< 9",M,8
MS,COVID,VIA_PUBLICA,"< 9",F,1
MS,INDETERMINADA,HOSPITAL,"< 9",F,1
MS,INDETERMINADA,HOSPITAL,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,4
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,17
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,18
MS,PNEUMONIA,DOMICILIO,"< 9",F,1
MS,PNEUMONIA,DOMICILIO,"< 9",M,3
MS,PNEUMONIA,HOSPITAL,"< 9",F,13
MS,PNEUMONIA,HOSPITAL,"< 9",M,15
MS,PNEUMONIA,VIA_PUBLICA,"< 9",M,1
MS,SEPTICEMIA,HOSPITAL,"< 9",F,37
MS,SEPTICEMIA,HOSPITAL,"< 9",M,34
MS,SRAG,HOSPITAL,"< 9",F,1
MT,OUTRAS,DOMICILIO,"< 9",F,6
MT,OUTRAS,DOMICILIO,"< 9",M,2
MT,OUTRAS,HOSPITAL,"< 9",F,74
MT,OUTRAS,HOSPITAL,"< 9",I,1
MT,OUTRAS,HOSPITAL,"< 9",M,104
MT,OUTRAS,IGNORADO,"< 9",F,32
MT,OUTRAS,IGNORADO,"< 9",M,41
MT,OUTRAS,OUTRO,"< 9",F,5
MT,OUTRAS,OUTRO,"< 9",M,9
MT,OUTRAS,VIA_PUBLICA,"< 9",M,2
MT,COVID,HOSPITAL,"< 9",F,5
MT,COVID,HOSPITAL,"< 9",M,7
MT,COVID,IGNORADO,"< 9",F,5
MT,INDETERMINADA,HOSPITAL,"< 9",M,1
MT,INDETERMINADA,IGNORADO,"< 9",M,2
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,13
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,14
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,5
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,18
MT,PNEUMONIA,DOMICILIO,"< 9",F,1
MT,PNEUMONIA,HOSPITAL,"< 9",F,7
MT,PNEUMONIA,HOSPITAL,"< 9",M,7
MT,PNEUMONIA,IGNORADO,"< 9",F,6
MT,PNEUMONIA,IGNORADO,"< 9",M,11
MT,SEPTICEMIA,HOSPITAL,"< 9",F,24
MT,SEPTICEMIA,HOSPITAL,"< 9",M,32
MT,SEPTICEMIA,IGNORADO,"< 9",F,21
MT,SEPTICEMIA,IGNORADO,"< 9",M,29
MT,SEPTICEMIA,OUTRO,"< 9",F,1
MT,SEPTICEMIA,OUTRO,"< 9",M,1
MT,SRAG,IGNORADO,"< 9",F,3
PA,OUTRAS,AMBULANCIA,"< 9",F,2
PA,OUTRAS,DOMICILIO,"< 9",F,19
PA,OUTRAS,DOMICILIO,"< 9",M,20
PA,OUTRAS,HOSPITAL,"< 9",F,118
PA,OUTRAS,HOSPITAL,"< 9",I,3
PA,OUTRAS,HOSPITAL,"< 9",M,151
PA,OUTRAS,OUTRO,"< 9",F,6
PA,OUTRAS,OUTRO,"< 9",M,9
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
